date,year,month,day,week,day_of_week
01-01-2023,2023,1,1,52,6
02-01-2023,2023,1,2,1,0
03-01-2023,2023,1,3,1,1
04-01-2023,2023,1,4,1,2
05-01-2023,2023,1,5,1,3
06-01-2023,2023,1,6,1,4
07-01-2023,2023,1,7,1,5
08-01-2023,2023,1,8,1,6
09-01-2023,2023,1,9,2,0
10-01-2023,2023,1,10,2,1
11-01-2023,2023,1,11,2,2
12-01-2023,2023,1,12,2,3
13-01-2023,2023,1,13,2,4
14-01-2023,2023,1,14,2,5
15-01-2023,2023,1,15,2,6
16-01-2023,2023,1,16,3,0
17-01-2023,2023,1,17,3,1
18-01-2023,2023,1,18,3,2
19-01-2023,2023,1,19,3,3
20-01-2023,2023,1,20,3,4
21-01-2023,2023,1,21,3,5
22-01-2023,2023,1,22,3,6
23-01-2023,2023,1,23,4,0
24-01-2023,2023,1,24,4,1
25-01-2023,2023,1,25,4,2
26-01-2023,2023,1,26,4,3
27-01-2023,2023,1,27,4,4
28-01-2023,2023,1,28,4,5
29-01-2023,2023,1,29,4,6
30-01-2023,2023,1,30,5,0
31-01-2023,2023,1,31,5,1
01-02-2023,2023,2,1,5,2
02-02-2023,2023,2,2,5,3
03-02-2023,2023,2,3,5,4
04-02-2023,2023,2,4,5,5
05-02-2023,2023,2,5,5,6
06-02-2023,2023,2,6,6,0
07-02-2023,2023,2,7,6,1
08-02-2023,2023,2,8,6,2
09-02-2023,2023,2,9,6,3
10-02-2023,2023,2,10,6,4
11-02-2023,2023,2,11,6,5
12-02-2023,2023,2,12,6,6
13-02-2023,2023,2,13,7,0
14-02-2023,2023,2,14,7,1
15-02-2023,2023,2,15,7,2
16-02-2023,2023,2,16,7,3
17-02-2023,2023,2,17,7,4
18-02-2023,2023,2,18,7,5
19-02-2023,2023,2,19,7,6
20-02-2023,2023,2,20,8,0
21-02-2023,2023,2,21,8,1
22-02-2023,2023,2,22,8,2
23-02-2023,2023,2,23,8,3
24-02-2023,2023,2,24,8,4
25-02-2023,2023,2,25,8,5
26-02-2023,2023,2,26,8,6
27-02-2023,2023,2,27,9,0
28-02-2023,2023,2,28,9,1
01-03-2023,2023,3,1,9,2
02-03-2023,2023,3,2,9,3
03-03-2023,2023,3,3,9,4
04-03-2023,2023,3,4,9,5
05-03-2023,2023,3,5,9,6
06-03-2023,2023,3,6,10,0
07-03-2023,2023,3,7,10,1
08-03-2023,2023,3,8,10,2
09-03-2023,2023,3,9,10,3
10-03-2023,2023,3,10,10,4
11-03-2023,2023,3,11,10,5
12-03-2023,2023,3,12,10,6
13-03-2023,2023,3,13,11,0
14-03-2023,2023,3,14,11,1
15-03-2023,2023,3,15,11,2
16-03-2023,2023,3,16,11,3
17-03-2023,2023,3,17,11,4
18-03-2023,2023,3,18,11,5
19-03-2023,2023,3,19,11,6
20-03-2023,2023,3,20,12,0
21-03-2023,2023,3,21,12,1
22-03-2023,2023,3,22,12,2
23-03-2023,2023,3,23,12,3
24-03-2023,2023,3,24,12,4
25-03-2023,2023,3,25,12,5
26-03-2023,2023,3,26,12,6
27-03-2023,2023,3,27,13,0
28-03-2023,2023,3,28,13,1
29-03-2023,2023,3,29,13,2
30-03-2023,2023,3,30,13,3
31-03-2023,2023,3,31,13,4
01-04-2023,2023,4,1,13,5
02-04-2023,2023,4,2,13,6
03-04-2023,2023,4,3,14,0
04-04-2023,2023,4,4,14,1
05-04-2023,2023,4,5,14,2
06-04-2023,2023,4,6,14,3
07-04-2023,2023,4,7,14,4
08-04-2023,2023,4,8,14,5
09-04-2023,2023,4,9,14,6
10-04-2023,2023,4,10,15,0
11-04-2023,2023,4,11,15,1
12-04-2023,2023,4,12,15,2
13-04-2023,2023,4,13,15,3
14-04-2023,2023,4,14,15,4
15-04-2023,2023,4,15,15,5
16-04-2023,2023,4,16,15,6
17-04-2023,2023,4,17,16,0
18-04-2023,2023,4,18,16,1
19-04-2023,2023,4,19,16,2
20-04-2023,2023,4,20,16,3
21-04-2023,2023,4,21,16,4
22-04-2023,2023,4,22,16,5
23-04-2023,2023,4,23,16,6
24-04-2023,2023,4,24,17,0
25-04-2023,2023,4,25,17,1
26-04-2023,2023,4,26,17,2
27-04-2023,2023,4,27,17,3
28-04-2023,2023,4,28,17,4
29-04-2023,2023,4,29,17,5
30-04-2023,2023,4,30,17,6
01-05-2023,2023,5,1,18,0
02-05-2023,2023,5,2,18,1
03-05-2023,2023,5,3,18,2
04-05-2023,2023,5,4,18,3
05-05-2023,2023,5,5,18,4
06-05-2023,2023,5,6,18,5
07-05-2023,2023,5,7,18,6
08-05-2023,2023,5,8,19,0
09-05-2023,2023,5,9,19,1
10-05-2023,2023,5,10,19,2
11-05-2023,2023,5,11,19,3
12-05-2023,2023,5,12,19,4
13-05-2023,2023,5,13,19,5
14-05-2023,2023,5,14,19,6
15-05-2023,2023,5,15,20,0
16-05-2023,2023,5,16,20,1
17-05-2023,2023,5,17,20,2
18-05-2023,2023,5,18,20,3
19-05-2023,2023,5,19,20,4
20-05-2023,2023,5,20,20,5
21-05-2023,2023,5,21,20,6
22-05-2023,2023,5,22,21,0
23-05-2023,2023,5,23,21,1
24-05-2023,2023,5,24,21,2
25-05-2023,2023,5,25,21,3
26-05-2023,2023,5,26,21,4
27-05-2023,2023,5,27,21,5
28-05-2023,2023,5,28,21,6
29-05-2023,2023,5,29,22,0
30-05-2023,2023,5,30,22,1
31-05-2023,2023,5,31,22,2
01-06-2023,2023,6,1,22,3
02-06-2023,2023,6,2,22,4
03-06-2023,2023,6,3,22,5
04-06-2023,2023,6,4,22,6
05-06-2023,2023,6,5,23,0
06-06-2023,2023,6,6,23,1
07-06-2023,2023,6,7,23,2
08-06-2023,2023,6,8,23,3
09-06-2023,2023,6,9,23,4
10-06-2023,2023,6,10,23,5
11-06-2023,2023,6,11,23,6
12-06-2023,2023,6,12,24,0
13-06-2023,2023,6,13,24,1
14-06-2023,2023,6,14,24,2
15-06-2023,2023,6,15,24,3
16-06-2023,2023,6,16,24,4
17-06-2023,2023,6,17,24,5
18-06-2023,2023,6,18,24,6
19-06-2023,2023,6,19,25,0
20-06-2023,2023,6,20,25,1
21-06-2023,2023,6,21,25,2
22-06-2023,2023,6,22,25,3
23-06-2023,2023,6,23,25,4
24-06-2023,2023,6,24,25,5
25-06-2023,2023,6,25,25,6
26-06-2023,2023,6,26,26,0
27-06-2023,2023,6,27,26,1
28-06-2023,2023,6,28,26,2
29-06-2023,2023,6,29,26,3
30-06-2023,2023,6,30,26,4
01-07-2023,2023,7,1,26,5
02-07-2023,2023,7,2,26,6
03-07-2023,2023,7,3,27,0
04-07-2023,2023,7,4,27,1
05-07-2023,2023,7,5,27,2
06-07-2023,2023,7,6,27,3
07-07-2023,2023,7,7,27,4
08-07-2023,2023,7,8,27,5
09-07-2023,2023,7,9,27,6
10-07-2023,2023,7,10,28,0
11-07-2023,2023,7,11,28,1
12-07-2023,2023,7,12,28,2
13-07-2023,2023,7,13,28,3
14-07-2023,2023,7,14,28,4
15-07-2023,2023,7,15,28,5
16-07-2023,2023,7,16,28,6
17-07-2023,2023,7,17,29,0
18-07-2023,2023,7,18,29,1
